Unnamed: 0,Newspaper Title,Issue Date,Page Number,City
8680,Atlanta Georgian,11-30-1912,10,"Atlanta, Georgia"
8681,Atlanta Georgian,11-16-1912,12,"Atlanta, Georgia"
8682,The Salt Lake Herald,05-08-1907,6,"Salt Lake City, Utah"
8683,Perth Amboy Evening News,03-17-1924,1,"Perth Amboy, New Jersey"
8684,Los Angeles Herald,07-31-1910,27,"Los Angeles, California"
8685,Los Angeles Herald,10-18-1910,9,"Los Angeles, California"
8686,The Birmingham Age-Herald,09-23-1921,14,"Birmingham, Alabama"
8687,Bisbee Daily Review,04-24-1910,12,"Bisbee, Arizona"
8688,The San Francisco Call,04-12-1911,8,"San Francisco, California"
8689,The Argus,04-23-1898,1,"Holbrook, Arizona"
8690,Troy Weekly News,02-02-1906,8,"Troy, Idaho"
8691,Elk City Mining News,02-03-1906,6,"Elk City', 'Red River Hot Springs', 'Red River', 'Newsome', 'Dixie', 'Buffalo Hump', 'Buffalo', 'Crooked River, Idaho"
8692,Arizona Republican,06-21-1909,13,"Phoenix, Arizona"
