Unnamed: 0,Newspaper Title,Issue Date,Page Number,City
9091,Los Angeles Herald,01-10-1907,4,"Los Angeles, California"
9092,Los Angeles Herald,10-11-1908,19,"Los Angeles, California"
9093,Los Angeles Herald,08-11-1908,9,"Los Angeles, California"
9094,Los Angeles Herald,05-29-1908,11,"Los Angeles, California"
9095,The Ogden Standard,04-20-1918,20,"Ogden, Utah"
9096,The Herald,05-30-1893,6,"Los Angeles, California"
9097,Los Angeles Herald,02-07-1909,1,"Los Angeles, California"
9098,South Bend News-Times,05-13-1929,4,"South Bend, Indiana"
9099,The San Francisco Call,12-14-1911,6,"San Francisco, California"
9100,The Herald,04-25-1895,7,"Los Angeles, California"
9101,The Herald,07-24-1895,3,"Los Angeles, California"
9102,The Herald,12-15-1894,5,"Los Angeles, California"
9103,The Record-Union,05-20-1891,4,"Sacramento, California"
9104,Imperial Valley Press,11-04-1930,3,"El Centro, California"
9105,Imperial Valley Press,04-08-1916,3,"El Centro, California"
9106,Los Angeles Herald,12-03-1910,12,"Los Angeles, California"
9107,Atlanta Georgian,12-04-1912,14,"Atlanta, Georgia"
9108,Atlanta Georgian,12-18-1912,17,"Atlanta, Georgia"
9109,Atlanta Georgian,12-18-1912,17,"Atlanta, Georgia"
9110,Atlanta Georgian,12-14-1912,12,"Atlanta, Georgia"
9111,The San Francisco Call,06-29-1902,36,"San Francisco, California"
9112,The Salt Lake Tribune,04-04-1911,4,"Salt Lake City, Utah"
9113,The San Francisco Call,02-12-1896,3,"San Francisco, California"
9114,The San Francisco Call,11-03-1901,43,"San Francisco, California"
9115,Los Angeles Herald,05-16-1909,21,"Los Angeles, California"
9116,Los Angeles Herald,09-06-1905,13,"Los Angeles, California"
9117,Los Angeles Herald,12-18-1908,9,"Los Angeles, California"
9118,Los Angeles Herald,09-14-1905,13,"Los Angeles, California"
9119,Los Angeles Herald,04-10-1910,21,"Los Angeles, California"
9120,Los Angeles Herald,09-25-1910,51,"Los Angeles, California"
9121,Albuquerque Morning Journal,10-19-1922,1,"Albuquerque, New Mexico"
9122,The Holbrook News,04-11-1919,1,"Holbrook, Arizona"
9123,The Herald,12-28-1895,10,"Los Angeles, California"
9124,Tombstone Epitaph,09-23-1894,3,"Tombstone, Arizona"
