Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
Carson City Daily Appeal,06-24-1910,3,Carson City,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_idlewild_ver01/data/sn86076241/00271763992/1910062401/0597.pdf,-119.7475563,39.1511204
Morning Appeal,12-30-1894,3,Carson City,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_fallon_ver02/data/sn86076999/00416150400/1894123001/0614.pdf,-119.7475563,39.1511204
The Pioche Weekly Record,07-16-1896,2,Pioche,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_caliente_ver02/data/sn86091346/00415668569/1896071601/0118.pdf,-114.46527,37.9182963
Mohave County Miner,06-08-1901,3,Mineral Park,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_agave_ver01/data/sn84024828/00211100679/1901060801/0016.pdf,,
Arizona Republican,01-18-1896,1,Phoenix,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_gecko_ver01/data/sn84020558/0020219218A/1896011801/0321.pdf,-112.0287227,33.5167209
The Daily Missoulian,04-19-1909,1,Missoula,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_dragonfly_ver01/data/sn83025316/00294554609/1909041901/1290.pdf,-113.9237412,47.0365253
The Daily Ardmoreite,03-10-1915,4,Ardmore,Oklahoma,https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_foss_ver01/data/sn85042303/00200296771/1915031001/0524.pdf,-97.1417911,34.1643224
Great Falls Tribune,10-13-1922,1,Great Falls,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_crane_ver01/data/sn83045217/00295860820/1922101301/0689.pdf,-111.4498332,47.4580693
Daily Kennebec Journal,03-14-1905,5,Augusta,Maine,https://tile.loc.gov/storage-services/service/ndnp/me/batch_me_ashdale_ver01/data/sn82014248/00513682281/1905031401/0134.pdf,-69.7318763,44.3341018
The Marion Daily Mirror,10-11-1909,2,Marion,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_juliet_ver01/data/sn88077573/00237283545/1909101101/0079.pdf,-83.1609031,40.5871853
The Herald,08-19-1895,12,Los Angeles,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_plasse_ver01/data/sn85042461/00280769629/1895081901/0632.pdf,-118.2303511,34.0580672
The Pioche Record,08-08-1919,2,Pioche,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_dayton_ver01/data/sn86091349/00415627270/1919080801/0105.pdf,-114.46527,37.9182963
