Unnamed: 0,Newspaper Title,Issue Date,Page Number,City,PDF Link
176,Daily Capital Journal,06-11-1910,3,"Salem, Oregon",https://tile.loc.gov/storage-services/service/ndnp/oru/batch_oru_lyonsport_ver02/data/sn99063957/00200298494/1910061101/0410.pdf
177,Mohave County Miner,07-08-1911,1,"Mineral Park, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_datura_ver01/data/sn84024828/00211105951/1911070801/0466.pdf
178,Los Angeles Herald,01-10-1909,1,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quailvalley_ver01/data/sn85042462/00175035746/1909011001/0170.pdf
179,The Browning Review,08-17-1923,7,"Browning, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_circle_ver01/data/sn84036252/00517178408/1923081701/0483.pdf
180,The Kevin Review,08-16-1923,3,"Kevin, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_beargrass_ver01/data/sn85053343/00414211069/1923081601/0510.pdf
181,The Argus,04-09-1898,1,"Holbrook, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_acacia_ver01/data/sn94051341/00212476444/1898040901/0234.pdf
182,Evening Star,01-28-1914,3,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_ood_ver01/data/sn83045462/0028065887A/1914012801/0046.pdf
183,The Wisconsin Weekly Advocate,08-23-1900,4,"Milwaukee, Wisconsin",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_ifill_ver01/data/sn84025861/00211664782/1900082301/0108.pdf
184,Weekly Journal-Miner,08-02-1911,1,"Prescott, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_bobcat_ver01/data/sn85032923/00211105641/1911080201/0927.pdf
185,The Alaska Daily Empire,01-05-1924,8,"Juneau, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_goshawk_ver01/data/sn84020657/0039334202A/1924010501/0046.pdf
186,The Pioche Weekly Record,05-20-1897,2,"Pioche, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_caliente_ver02/data/sn86091346/00415668272/1897052001/0080.pdf
187,Los Angeles Herald,01-14-1909,1,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quailvalley_ver01/data/sn85042462/00175035746/1909011401/0266.pdf
188,The Republican,09-12-1901,4,"Oakland, Maryland",https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_hyssop_ver01/data/sn88065202/00340588502/1901091201/0280.pdf
189,The Republican,09-05-1901,4,"Oakland, Maryland",https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_hyssop_ver01/data/sn88065202/00340588502/1901090501/0272.pdf
190,The Republican,08-29-1901,4,"Oakland, Maryland",https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_hyssop_ver01/data/sn88065202/00340588502/1901082901/0264.pdf
191,The Republican,08-22-1901,4,"Oakland, Maryland",https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_hyssop_ver01/data/sn88065202/00340588502/1901082201/0256.pdf
192,The Montgomery Advertiser,05-11-1901,9,"Montgomery, Alabama",https://tile.loc.gov/storage-services/service/ndnp/au/batch_au_groom_ver01/data/sn84020645/00513683704/1901051101/0015.pdf
193,The Hattiesburg News,05-27-1910,6,"Hattiesburg, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910052701/0517.pdf
194,The Hattiesburg News,05-16-1910,6,"Hattiesburg, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910051601/0445.pdf
195,The Star,11-22-1893,6,"Reynoldsville, Pennsylvania",https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn87078321/00280776610/1893112201/0667.pdf
196,The Scranton Tribune,04-16-1902,5,"Scranton, Pennsylvania",https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_beaver_ver01/data/sn84026355/00237287617/1902041601/0136.pdf
197,Los Angeles Herald,01-25-1909,10,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quailvalley_ver01/data/sn85042462/00175035746/1909012501/0527.pdf
198,Los Angeles Herald,01-17-1909,31,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quailvalley_ver01/data/sn85042462/00175035746/1909011701/0333.pdf
199,The Hattiesburg News,05-30-1910,6,"Hattiesburg, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910053001/0531.pdf
200,El Paso Herald,07-01-1916,29,"El Paso, Texas",https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_egypt_ver01/data/sn88084272/00280765399/1916070101/0659.pdf
201,Bisbee Daily Review,09-19-1911,1,"Bisbee, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_javelina_ver01/data/sn84024827/0021110532A/1911091901/0130.pdf
202,The Daily Missoulian,10-10-1911,1,"Missoula, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_harlequin_ver01/data/sn83025316/00212476821/1911101001/0868.pdf
203,Arizona Republican,12-25-1912,12,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_fairyduster_ver01/data/sn84020558/00202192543/1912122501/0454.pdf
204,The Birmingham Age-Herald,02-16-1923,7,"Birmingham, Alabama",https://tile.loc.gov/storage-services/service/ndnp/au/batch_au_engle_ver01/data/sn85038485/00340582858/1923021601/0965.pdf
205,The Washington Times,08-19-1919,1,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_jetblue_ver01/data/sn84026749/00280764619/1919081901/0052.pdf
206,Arizona Republican,07-03-1901,2,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_kangaroorat_ver01/data/sn84020558/0021110546A/1901070301/0133.pdf
207,Daily Kennebec Journal,01-21-1910,12,"Augusta, Maine",https://tile.loc.gov/storage-services/service/ndnp/me/batch_me_capens_ver01/data/sn82014248/0051368261A/1910012101/0209.pdf
208,Carson City Daily Appeal,06-11-1910,4,"Carson City, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_idlewild_ver01/data/sn86076241/00271763992/1910061101/0554.pdf
209,The Tulsa Star,12-04-1920,4,"Tulsa, Oklahoma",https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_delaware_ver01/data/sn86064118/00237281020/1920120401/0366.pdf
210,Republican News Item,05-09-1907,2,"Laporte, Pennsylvania",https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_carlisle_ver01/data/sn86081854/00296026104/1907050901/0127.pdf
211,The Paducah Sun,07-07-1903,6,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_meatloaf_ver01/data/sn85052116/00175046331/1903070701/0051.pdf
212,The White Pine News,02-26-1909,3,"Ely, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_hiko_ver01/data/sn86076249/00332891376/1909022601/0698.pdf
213,The Abbeville Press And Banner,08-19-1919,5,"Abbeville, South Carolina",https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_kingjulius_ver01/data/sn84026853/00202193894/1919081901/0325.pdf
214,The Daily Ardmoreite,03-30-1913,4,"Ardmore, Oklahoma",https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_eufaula_ver01/data/sn85042303/00200296722/1913033001/1211.pdf
215,Mohave County Miner,03-28-1903,3,"Mineral Park, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_agave_ver01/data/sn84024828/00211100679/1903032801/0490.pdf
216,Bisbee Daily Review,07-26-1914,10,"Bisbee, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_datura_ver01/data/sn84024827/00211106049/1914072601/0665.pdf
217,Arizona Republican,06-14-1904,3,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_leopardfrog_ver01/data/sn84020558/00212476286/1904061401/0755.pdf
218,Marble Hill Press,03-17-1910,6,"Marble Hill, Missouri",https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_marmaduke_ver02/data/sn89066695/00415661666/1910031701/0490.pdf
219,The Arizona Sentinel,04-02-1902,1,"Yuma', 'Arizona City, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_gilachub_ver01/data/sn84021912/00211104338/1902040201/0320.pdf
220,The Hocking Sentinel,08-08-1901,4,"Logan, Ohio",https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_delta_ver01/data/sn85038119/0023728642A/1901080801/0318.pdf
221,The Copper Era And Morenci Leader,08-22-1913,7,"Clifton, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_cholla_ver01/data/sn94050892/00202196317/1913082201/0765.pdf
222,The Hattiesburg News,06-07-1910,3,"Hattiesburg, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910060701/0580.pdf
223,Douglas Daily Dispatch,09-11-1926,5,"Douglas, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_ironsprings_ver01/data/sn84020064/00414217588/1926091101/0598.pdf
224,The Hattiesburg News,06-13-1910,7,"Hattiesburg, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910061301/0620.pdf
225,Carson City Daily Appeal,05-24-1910,4,"Carson City, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_idlewild_ver01/data/sn86076241/00271763992/1910052401/0490.pdf
226,Seward Daily Gateway,12-03-1924,8,"Seward, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_jaeger_ver01/data/sn87062169/00514154223/1924120301/0030.pdf
227,Ajo Copper News,04-11-1925,4,"Ajo, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_chrysocolla_ver01/data/sn95060771/00519079215/1925041101/0231.pdf
228,The San Francisco Call,04-09-1900,9,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_albion_ver01/data/sn85066387/190004091/0148.pdf
229,The Hattiesburg News,05-14-1910,6,"Hattiesburg, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910051401/0437.pdf
230,Los Angeles Herald,03-17-1892,8,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_plasse_ver01/data/sn84025968/00280769435/1892031701/0170.pdf
231,The Evening Herald,06-28-1899,3,"Shenandoah, Pennsylvania",https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_armsby_ver01/data/sn87078000/00237281834/1899062801/0632.pdf
232,Los Angeles Herald,05-01-1910,24,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035862/1910050101/0027.pdf
233,Los Angeles Herald,04-07-1910,13,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035850/1910040701/0896.pdf
234,Los Angeles Herald,01-25-1909,11,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quailvalley_ver01/data/sn85042462/00175035746/1909012501/0528.pdf
235,Arizona Republican,07-31-1901,2,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_kangaroorat_ver01/data/sn84020558/0021110546A/1901073101/0371.pdf
236,The Herald,04-23-1896,5,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_lovelock_ver01/data/sn85042461/00280769666/1896042301/0661.pdf
237,The Ocala Banner,07-05-1901,6,"Ocala, Florida",https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_seven_ver02/data/sn88074815/00175041746/1901070501/0274.pdf
238,San Antonio Light,03-19-1924,2,"San Antonio, Texas",https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_bartonville_ver01/data/sn85060004/00517176795/1924031901/0499.pdf
239,The Silver State,03-08-1910,1,"Winnemucca, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_deeth_ver01/data/sn86076247/00332890426/1910030801/0492.pdf
